dateday,season,year,month,hour,holiday,weekday,workingday,weather_condition,temp,hum,casual,registered,count,temp_group,count_group
2011-01-03,Spring,0,Jan,8,0,Mon,1,Clear/Partly Cloudy,0.14,0.5,1,153,154,Dingin,
2011-01-03,Spring,0,Jan,9,0,Mon,1,Clear/Partly Cloudy,0.16,0.43,7,81,88,Dingin,Sangat Tinggi
2011-01-03,Spring,0,Jan,10,0,Mon,1,Clear/Partly Cloudy,0.18,0.43,11,33,44,Dingin,Sangat Tinggi
2011-01-03,Spring,0,Jan,11,0,Mon,1,Clear/Partly Cloudy,0.2,0.4,10,41,51,Dingin,Sangat Tinggi
2011-01-03,Spring,0,Jan,12,0,Mon,1,Clear/Partly Cloudy,0.22,0.35,13,48,61,Dingin,Sangat Tinggi
2011-01-03,Spring,0,Jan,13,0,Mon,1,Clear/Partly Cloudy,0.24,0.35,8,53,61,Dingin,Sangat Tinggi
2011-01-03,Spring,0,Jan,14,0,Mon,1,Clear/Partly Cloudy,0.26,0.3,11,66,77,Dingin,Sangat Tinggi
2011-01-03,Spring,0,Jan,15,0,Mon,1,Clear/Partly Cloudy,0.26,0.3,14,58,72,Dingin,Sangat Tinggi
2011-01-03,Spring,0,Jan,16,0,Mon,1,Clear/Partly Cloudy,0.26,0.3,9,67,76,Dingin,Sangat Tinggi
2011-01-03,Spring,0,Jan,17,0,Mon,1,Clear/Partly Cloudy,0.24,0.3,11,146,157,Dingin,
2011-01-03,Spring,0,Jan,18,0,Mon,1,Clear/Partly Cloudy,0.24,0.32,9,148,157,Dingin,
2011-01-03,Spring,0,Jan,19,0,Mon,1,Clear/Partly Cloudy,0.2,0.47,8,102,110,Dingin,
2011-01-03,Spring,0,Jan,20,0,Mon,1,Clear/Partly Cloudy,0.2,0.47,3,49,52,Dingin,Sangat Tinggi
2011-01-03,Spring,0,Jan,21,0,Mon,1,Clear/Partly Cloudy,0.18,0.64,3,49,52,Dingin,Sangat Tinggi
2011-01-03,Spring,0,Jan,22,0,Mon,1,Clear/Partly Cloudy,0.14,0.69,0,20,20,Dingin,Sedang
2011-01-03,Spring,0,Jan,23,0,Mon,1,Clear/Partly Cloudy,0.18,0.55,1,11,12,Dingin,Sedang
2011-01-04,Spring,0,Jan,0,0,Tue,1,Clear/Partly Cloudy,0.16,0.55,0,5,5,Dingin,Rendah
2011-01-04,Spring,0,Jan,1,0,Tue,1,Clear/Partly Cloudy,0.16,0.59,0,2,2,Dingin,Rendah
2011-01-04,Spring,0,Jan,2,0,Tue,1,Clear/Partly Cloudy,0.14,0.63,0,1,1,Dingin,Rendah
2011-01-04,Spring,0,Jan,4,0,Tue,1,Clear/Partly Cloudy,0.14,0.63,0,2,2,Dingin,Rendah
2011-01-04,Spring,0,Jan,5,0,Tue,1,Clear/Partly Cloudy,0.12,0.68,0,4,4,Dingin,Rendah
2011-01-04,Spring,0,Jan,6,0,Tue,1,Clear/Partly Cloudy,0.12,0.74,0,36,36,Dingin,Sangat Tinggi
2011-01-04,Spring,0,Jan,7,0,Tue,1,Clear/Partly Cloudy,0.12,0.74,2,92,94,Dingin,Sangat Tinggi
2011-01-04,Spring,0,Jan,8,0,Tue,1,Clear/Partly Cloudy,0.14,0.69,2,177,179,Dingin,
2011-01-04,Spring,0,Jan,9,0,Tue,1,Clear/Partly Cloudy,0.16,0.64,2,98,100,Dingin,Sangat Tinggi
2011-01-04,Spring,0,Jan,10,0,Tue,1,Misty/Cloudy,0.16,0.69,5,37,42,Dingin,Sangat Tinggi
2011-01-04,Spring,0,Jan,11,0,Tue,1,Clear/Partly Cloudy,0.22,0.51,7,50,57,Dingin,Sangat Tinggi
2011-01-04,Spring,0,Jan,12,0,Tue,1,Clear/Partly Cloudy,0.22,0.51,12,66,78,Dingin,Sangat Tinggi
2011-01-04,Spring,0,Jan,13,0,Tue,1,Clear/Partly Cloudy,0.24,0.56,18,79,97,Dingin,Sangat Tinggi
2011-01-04,Spring,0,Jan,14,0,Tue,1,Clear/Partly Cloudy,0.26,0.52,9,54,63,Dingin,Sangat Tinggi
2011-01-04,Spring,0,Jan,15,0,Tue,1,Clear/Partly Cloudy,0.28,0.52,17,48,65,Dingin,Sangat Tinggi
2011-01-04,Spring,0,Jan,16,0,Tue,1,Clear/Partly Cloudy,0.3,0.49,15,68,83,Dingin,Sangat Tinggi
2011-01-04,Spring,0,Jan,17,0,Tue,1,Clear/Partly Cloudy,0.28,0.48,10,202,212,Dingin,
2011-01-04,Spring,0,Jan,18,0,Tue,1,Clear/Partly Cloudy,0.26,0.48,3,179,182,Dingin,
2011-01-04,Spring,0,Jan,19,0,Tue,1,Clear/Partly Cloudy,0.24,0.48,2,110,112,Dingin,
2011-01-04,Spring,0,Jan,20,0,Tue,1,Clear/Partly Cloudy,0.24,0.48,1,53,54,Dingin,Sangat Tinggi
2011-01-04,Spring,0,Jan,21,0,Tue,1,Clear/Partly Cloudy,0.22,0.64,0,48,48,Dingin,Sangat Tinggi
2011-01-04,Spring,0,Jan,22,0,Tue,1,Clear/Partly Cloudy,0.22,0.64,1,34,35,Dingin,Sangat Tinggi
2011-01-04,Spring,0,Jan,23,0,Tue,1,Clear/Partly Cloudy,0.2,0.69,2,9,11,Dingin,Sedang
2011-01-05,Spring,0,Jan,0,0,Wed,1,Clear/Partly Cloudy,0.2,0.64,0,6,6,Dingin,Rendah
2011-01-05,Spring,0,Jan,1,0,Wed,1,Clear/Partly Cloudy,0.16,0.74,0,6,6,Dingin,Rendah
2011-01-05,Spring,0,Jan,2,0,Wed,1,Clear/Partly Cloudy,0.16,0.74,0,2,2,Dingin,Rendah
2011-01-05,Spring,0,Jan,4,0,Wed,1,Clear/Partly Cloudy,0.24,0.48,0,2,2,Dingin,Rendah
2011-01-05,Spring,0,Jan,5,0,Wed,1,Clear/Partly Cloudy,0.22,0.47,0,3,3,Dingin,Rendah
2011-01-05,Spring,0,Jan,6,0,Wed,1,Clear/Partly Cloudy,0.2,0.47,0,33,33,Dingin,Sangat Tinggi
2011-01-05,Spring,0,Jan,7,0,Wed,1,Clear/Partly Cloudy,0.18,0.43,1,87,88,Dingin,Sangat Tinggi
2011-01-05,Spring,0,Jan,8,0,Wed,1,Clear/Partly Cloudy,0.2,0.4,3,192,195,Dingin,
2011-01-05,Spring,0,Jan,9,0,Wed,1,Clear/Partly Cloudy,0.22,0.37,6,109,115,Dingin,
2011-01-05,Spring,0,Jan,10,0,Wed,1,Clear/Partly Cloudy,0.22,0.37,4,53,57,Dingin,Sangat Tinggi
2011-01-05,Spring,0,Jan,11,0,Wed,1,Clear/Partly Cloudy,0.26,0.33,12,34,46,Dingin,Sangat Tinggi
2011-01-05,Spring,0,Jan,12,0,Wed,1,Clear/Partly Cloudy,0.26,0.33,5,74,79,Dingin,Sangat Tinggi
2011-01-05,Spring,0,Jan,13,0,Wed,1,Clear/Partly Cloudy,0.28,0.3,6,65,71,Dingin,Sangat Tinggi
2011-01-05,Spring,0,Jan,14,0,Wed,1,Clear/Partly Cloudy,0.3,0.28,10,52,62,Dingin,Sangat Tinggi
2011-01-05,Spring,0,Jan,15,0,Wed,1,Clear/Partly Cloudy,0.3,0.28,7,55,62,Dingin,Sangat Tinggi
2011-01-05,Spring,0,Jan,16,0,Wed,1,Clear/Partly Cloudy,0.3,0.28,4,85,89,Dingin,Sangat Tinggi
2011-01-05,Spring,0,Jan,17,0,Wed,1,Clear/Partly Cloudy,0.24,0.38,4,186,190,Dingin,
2011-01-05,Spring,0,Jan,18,0,Wed,1,Clear/Partly Cloudy,0.24,0.38,3,166,169,Dingin,
2011-01-05,Spring,0,Jan,19,0,Wed,1,Clear/Partly Cloudy,0.24,0.38,5,127,132,Dingin,
2011-01-05,Spring,0,Jan,20,0,Wed,1,Clear/Partly Cloudy,0.22,0.47,7,82,89,Dingin,Sangat Tinggi
2011-01-05,Spring,0,Jan,21,0,Wed,1,Clear/Partly Cloudy,0.2,0.51,3,40,43,Dingin,Sangat Tinggi
2011-01-05,Spring,0,Jan,22,0,Wed,1,Clear/Partly Cloudy,0.18,0.55,1,41,42,Dingin,Sangat Tinggi
2011-01-05,Spring,0,Jan,23,0,Wed,1,Clear/Partly Cloudy,0.2,0.47,1,18,19,Dingin,Sedang
2011-01-06,Spring,0,Jan,0,0,Thu,1,Clear/Partly Cloudy,0.18,0.55,0,11,11,Dingin,Sedang
2011-01-06,Spring,0,Jan,1,0,Thu,1,Clear/Partly Cloudy,0.16,0.64,0,4,4,Dingin,Rendah
2011-01-06,Spring,0,Jan,2,0,Thu,1,Clear/Partly Cloudy,0.16,0.64,0,2,2,Dingin,Rendah
2011-01-06,Spring,0,Jan,4,0,Thu,1,Misty/Cloudy,0.16,0.64,0,1,1,Dingin,Rendah
2011-01-06,Spring,0,Jan,5,0,Thu,1,Misty/Cloudy,0.14,0.69,0,4,4,Dingin,Rendah
2011-01-06,Spring,0,Jan,6,0,Thu,1,Misty/Cloudy,0.14,0.63,0,36,36,Dingin,Sangat Tinggi
2011-01-06,Spring,0,Jan,7,0,Thu,1,Misty/Cloudy,0.16,0.59,0,95,95,Dingin,Sangat Tinggi
2011-01-06,Spring,0,Jan,8,0,Thu,1,Clear/Partly Cloudy,0.16,0.59,3,216,219,Dingin,
2011-01-06,Spring,0,Jan,9,0,Thu,1,Misty/Cloudy,0.18,0.51,6,116,122,Dingin,
2011-01-06,Spring,0,Jan,10,0,Thu,1,Clear/Partly Cloudy,0.2,0.47,3,42,45,Dingin,Sangat Tinggi
2011-01-06,Spring,0,Jan,11,0,Thu,1,Clear/Partly Cloudy,0.22,0.44,2,57,59,Dingin,Sangat Tinggi
2011-01-06,Spring,0,Jan,12,0,Thu,1,Clear/Partly Cloudy,0.26,0.35,6,78,84,Dingin,Sangat Tinggi
2011-01-06,Spring,0,Jan,13,0,Thu,1,Clear/Partly Cloudy,0.26,0.35,12,55,67,Dingin,Sangat Tinggi
2011-01-06,Spring,0,Jan,14,0,Thu,1,Clear/Partly Cloudy,0.28,0.36,11,59,70,Dingin,Sangat Tinggi
2011-01-06,Spring,0,Jan,15,0,Thu,1,Clear/Partly Cloudy,0.28,0.36,8,54,62,Dingin,Sangat Tinggi
2011-01-06,Spring,0,Jan,16,0,Thu,1,Clear/Partly Cloudy,0.26,0.38,12,74,86,Dingin,Sangat Tinggi
2011-01-06,Spring,0,Jan,17,0,Thu,1,Clear/Partly Cloudy,0.22,0.51,9,163,172,Dingin,
2011-01-06,Spring,0,Jan,18,0,Thu,1,Clear/Partly Cloudy,0.22,0.51,5,158,163,Dingin,
2011-01-06,Spring,0,Jan,19,0,Thu,1,Clear/Partly Cloudy,0.22,0.55,3,109,112,Dingin,
2011-01-06,Spring,0,Jan,20,0,Thu,1,Clear/Partly Cloudy,0.2,0.51,3,66,69,Dingin,Sangat Tinggi
2011-01-06,Spring,0,Jan,21,0,Thu,1,Misty/Cloudy,0.22,0.55,0,48,48,Dingin,Sangat Tinggi
2011-01-06,Spring,0,Jan,22,0,Thu,1,Misty/Cloudy,0.22,0.51,1,51,52,Dingin,Sangat Tinggi
2011-01-06,Spring,0,Jan,23,0,Thu,1,Misty/Cloudy,0.2,0.59,4,19,23,Dingin,Tinggi
2011-01-07,Spring,0,Jan,0,0,Fri,1,Misty/Cloudy,0.2,0.64,4,13,17,Dingin,Sedang
2011-01-07,Spring,0,Jan,1,0,Fri,1,Misty/Cloudy,0.2,0.69,2,5,7,Dingin,Rendah
2011-01-07,Spring,0,Jan,2,0,Fri,1,Misty/Cloudy,0.2,0.69,0,1,1,Dingin,Rendah
2011-01-07,Spring,0,Jan,4,0,Fri,1,Misty/Cloudy,0.2,0.69,0,1,1,Dingin,Rendah
2011-01-07,Spring,0,Jan,5,0,Fri,1,Light Snow/Rain,0.22,0.55,0,5,5,Dingin,Rendah
2011-01-07,Spring,0,Jan,6,0,Fri,1,Misty/Cloudy,0.2,0.69,8,26,34,Dingin,Sangat Tinggi
2011-01-07,Spring,0,Jan,7,0,Fri,1,Clear/Partly Cloudy,0.2,0.69,8,76,84,Dingin,Sangat Tinggi
2011-01-07,Spring,0,Jan,8,0,Fri,1,Clear/Partly Cloudy,0.2,0.51,20,190,210,Dingin,
2011-01-07,Spring,0,Jan,9,0,Fri,1,Clear/Partly Cloudy,0.2,0.47,9,125,134,Dingin,
2011-01-07,Spring,0,Jan,10,0,Fri,1,Clear/Partly Cloudy,0.22,0.37,16,47,63,Dingin,Sangat Tinggi
2011-01-07,Spring,0,Jan,11,0,Fri,1,Misty/Cloudy,0.2,0.4,19,48,67,Dingin,Sangat Tinggi
2011-01-07,Spring,0,Jan,12,0,Fri,1,Misty/Cloudy,0.2,0.37,9,50,59,Dingin,Sangat Tinggi
2011-01-07,Spring,0,Jan,13,0,Fri,1,Misty/Cloudy,0.2,0.37,9,64,73,Dingin,Sangat Tinggi
2011-01-07,Spring,0,Jan,14,0,Fri,1,Misty/Cloudy,0.2,0.4,7,43,50,Dingin,Sangat Tinggi
2011-01-07,Spring,0,Jan,15,0,Fri,1,Misty/Cloudy,0.2,0.37,9,63,72,Dingin,Sangat Tinggi
2011-01-07,Spring,0,Jan,16,0,Fri,1,Misty/Cloudy,0.2,0.37,5,82,87,Dingin,Sangat Tinggi
2011-01-07,Spring,0,Jan,17,0,Fri,1,Misty/Cloudy,0.2,0.37,9,178,187,Dingin,
2011-01-07,Spring,0,Jan,18,0,Fri,1,Clear/Partly Cloudy,0.2,0.4,7,116,123,Dingin,
2011-01-07,Spring,0,Jan,19,0,Fri,1,Clear/Partly Cloudy,0.16,0.55,3,92,95,Dingin,Sangat Tinggi
2011-01-07,Spring,0,Jan,20,0,Fri,1,Clear/Partly Cloudy,0.18,0.47,1,50,51,Dingin,Sangat Tinggi
2011-01-07,Spring,0,Jan,21,0,Fri,1,Clear/Partly Cloudy,0.18,0.47,0,39,39,Dingin,Sangat Tinggi
2011-01-07,Spring,0,Jan,22,0,Fri,1,Misty/Cloudy,0.18,0.43,2,34,36,Dingin,Sangat Tinggi
2011-01-07,Spring,0,Jan,23,0,Fri,1,Misty/Cloudy,0.18,0.51,1,14,15,Dingin,Sedang
2011-01-08,Spring,0,Jan,0,0,Sat,0,Misty/Cloudy,0.18,0.51,1,24,25,Dingin,Tinggi
2011-01-08,Spring,0,Jan,1,0,Sat,0,Misty/Cloudy,0.18,0.55,1,15,16,Dingin,Sedang
2011-01-08,Spring,0,Jan,2,0,Sat,0,Misty/Cloudy,0.18,0.55,3,13,16,Dingin,Sedang
2011-01-08,Spring,0,Jan,3,0,Sat,0,Light Snow/Rain,0.18,0.55,0,7,7,Dingin,Rendah
2011-01-08,Spring,0,Jan,4,0,Sat,0,Light Snow/Rain,0.18,0.55,0,1,1,Dingin,Rendah
2011-01-08,Spring,0,Jan,5,0,Sat,0,Misty/Cloudy,0.16,0.74,0,5,5,Dingin,Rendah
2011-01-08,Spring,0,Jan,6,0,Sat,0,Misty/Cloudy,0.16,0.74,0,2,2,Dingin,Rendah
2011-01-08,Spring,0,Jan,7,0,Sat,0,Misty/Cloudy,0.16,0.74,1,8,9,Dingin,Rendah
2011-01-08,Spring,0,Jan,8,0,Sat,0,Light Snow/Rain,0.16,0.93,0,15,15,Dingin,Sedang
2011-01-08,Spring,0,Jan,9,0,Sat,0,Light Snow/Rain,0.16,0.93,0,20,20,Dingin,Sedang
2011-01-08,Spring,0,Jan,10,0,Sat,0,Misty/Cloudy,0.18,0.8,5,56,61,Dingin,Sangat Tinggi
2011-01-08,Spring,0,Jan,11,0,Sat,0,Misty/Cloudy,0.2,0.69,2,60,62,Dingin,Sangat Tinggi
2011-01-08,Spring,0,Jan,12,0,Sat,0,Misty/Cloudy,0.2,0.59,8,90,98,Dingin,Sangat Tinggi
2011-01-08,Spring,0,Jan,13,0,Sat,0,Clear/Partly Cloudy,0.2,0.44,7,95,102,Dingin,
2011-01-08,Spring,0,Jan,14,0,Sat,0,Clear/Partly Cloudy,0.2,0.32,12,83,95,Dingin,Sangat Tinggi
2011-01-08,Spring,0,Jan,15,0,Sat,0,Clear/Partly Cloudy,0.2,0.32,5,69,74,Dingin,Sangat Tinggi
2011-01-08,Spring,0,Jan,16,0,Sat,0,Clear/Partly Cloudy,0.18,0.29,8,68,76,Dingin,Sangat Tinggi
2011-01-08,Spring,0,Jan,17,0,Sat,0,Clear/Partly Cloudy,0.16,0.37,5,64,69,Dingin,Sangat Tinggi
2011-01-08,Spring,0,Jan,18,0,Sat,0,Clear/Partly Cloudy,0.14,0.39,3,52,55,Dingin,Sangat Tinggi
2011-01-08,Spring,0,Jan,19,0,Sat,0,Clear/Partly Cloudy,0.14,0.36,4,26,30,Dingin,Tinggi
2011-01-08,Spring,0,Jan,20,0,Sat,0,Clear/Partly Cloudy,0.12,0.36,0,28,28,Dingin,Tinggi
2011-01-08,Spring,0,Jan,21,0,Sat,0,Clear/Partly Cloudy,0.12,0.39,2,35,37,Dingin,Sangat Tinggi
2011-01-08,Spring,0,Jan,22,0,Sat,0,Clear/Partly Cloudy,0.12,0.36,1,33,34,Dingin,Sangat Tinggi
2011-01-08,Spring,0,Jan,23,0,Sat,0,Clear/Partly Cloudy,0.1,0.39,0,22,22,Dingin,Tinggi
2011-01-09,Spring,0,Jan,0,0,Sun,0,Clear/Partly Cloudy,0.1,0.42,1,24,25,Dingin,Tinggi
2011-01-09,Spring,0,Jan,1,0,Sun,0,Clear/Partly Cloudy,0.1,0.42,0,12,12,Dingin,Sedang
2011-01-09,Spring,0,Jan,2,0,Sun,0,Clear/Partly Cloudy,0.1,0.46,0,11,11,Dingin,Sedang
2011-01-09,Spring,0,Jan,3,0,Sun,0,Clear/Partly Cloudy,0.1,0.46,0,4,4,Dingin,Rendah
2011-01-09,Spring,0,Jan,4,0,Sun,0,Clear/Partly Cloudy,0.08,0.53,0,1,1,Dingin,Rendah
2011-01-09,Spring,0,Jan,5,0,Sun,0,Clear/Partly Cloudy,0.08,0.53,0,1,1,Dingin,Rendah
2011-01-09,Spring,0,Jan,6,0,Sun,0,Clear/Partly Cloudy,0.1,0.49,0,1,1,Dingin,Rendah
2011-01-09,Spring,0,Jan,7,0,Sun,0,Clear/Partly Cloudy,0.08,0.53,1,5,6,Dingin,Rendah
2011-01-09,Spring,0,Jan,8,0,Sun,0,Clear/Partly Cloudy,0.1,0.49,0,10,10,Dingin,Rendah
2011-01-09,Spring,0,Jan,9,0,Sun,0,Clear/Partly Cloudy,0.12,0.46,0,19,19,Dingin,Sedang
2011-01-09,Spring,0,Jan,10,0,Sun,0,Clear/Partly Cloudy,0.14,0.43,0,49,49,Dingin,Sangat Tinggi
2011-01-09,Spring,0,Jan,11,0,Sun,0,Clear/Partly Cloudy,0.16,0.4,2,47,49,Dingin,Sangat Tinggi
2011-01-09,Spring,0,Jan,12,0,Sun,0,Clear/Partly Cloudy,0.18,0.37,4,79,83,Dingin,Sangat Tinggi
2011-01-09,Spring,0,Jan,13,0,Sun,0,Clear/Partly Cloudy,0.2,0.34,6,69,75,Dingin,Sangat Tinggi
2011-01-09,Spring,0,Jan,14,0,Sun,0,Clear/Partly Cloudy,0.22,0.32,8,64,72,Dingin,Sangat Tinggi
2011-01-09,Spring,0,Jan,15,0,Sun,0,Clear/Partly Cloudy,0.22,0.35,5,77,82,Dingin,Sangat Tinggi
2011-01-09,Spring,0,Jan,16,0,Sun,0,Clear/Partly Cloudy,0.2,0.34,13,79,92,Dingin,Sangat Tinggi
2011-01-09,Spring,0,Jan,17,0,Sun,0,Clear/Partly Cloudy,0.18,0.37,3,59,62,Dingin,Sangat Tinggi
2011-01-09,Spring,0,Jan,18,0,Sun,0,Clear/Partly Cloudy,0.16,0.4,4,44,48,Dingin,Sangat Tinggi
2011-01-09,Spring,0,Jan,19,0,Sun,0,Clear/Partly Cloudy,0.16,0.43,1,40,41,Dingin,Sangat Tinggi
2011-01-09,Spring,0,Jan,20,0,Sun,0,Clear/Partly Cloudy,0.14,0.46,0,38,38,Dingin,Sangat Tinggi
2011-01-09,Spring,0,Jan,21,0,Sun,0,Clear/Partly Cloudy,0.14,0.46,1,19,20,Dingin,Sedang
2011-01-09,Spring,0,Jan,22,0,Sun,0,Clear/Partly Cloudy,0.14,0.46,5,10,15,Dingin,Sedang
2011-01-09,Spring,0,Jan,23,0,Sun,0,Clear/Partly Cloudy,0.12,0.5,0,6,6,Dingin,Rendah
2011-01-10,Spring,0,Jan,0,0,Mon,1,Clear/Partly Cloudy,0.12,0.5,2,3,5,Dingin,Rendah
2011-01-10,Spring,0,Jan,1,0,Mon,1,Clear/Partly Cloudy,0.12,0.5,1,0,1,Dingin,Rendah
2011-01-10,Spring,0,Jan,2,0,Mon,1,Clear/Partly Cloudy,0.12,0.5,0,3,3,Dingin,Rendah
2011-01-10,Spring,0,Jan,3,0,Mon,1,Clear/Partly Cloudy,0.12,0.5,0,1,1,Dingin,Rendah
